File_Name,Original_Width,Original_Height,Assigned_Label,Data_Split
10157.jpg,320,240,Cat,Validation
10158.jpg,442,500,Cat,Train
10159.jpg,500,417,Cat,Train
1016.jpg,288,288,Cat,Train
10160.jpg,384,288,Cat,Validation
10161.jpg,500,349,Cat,Validation
10162.jpg,260,470,Cat,Validation
10163.jpg,297,378,Cat,Train
10164.jpg,240,271,Cat,Train
10165.jpg,343,266,Cat,Train
10166.jpg,350,262,Cat,Train
10167.jpg,500,375,Cat,Validation
10168.jpg,500,375,Cat,Train
10169.jpg,500,334,Cat,Train
1017.jpg,238,241,Cat,Train
10170.jpg,300,289,Cat,Validation
10171.jpg,360,270,Cat,Train
10172.jpg,500,375,Cat,Train
10173.jpg,432,310,Cat,Train
10174.jpg,500,375,Cat,Train
10175.jpg,140,104,Cat,Validation
10176.jpg,500,375,Cat,Validation
10177.jpg,500,477,Cat,Train
10178.jpg,500,366,Cat,Train
10179.jpg,350,319,Cat,Train
1018.jpg,500,375,Cat,Train
10180.jpg,500,473,Cat,Train
10181.jpg,500,386,Cat,Train
10182.jpg,374,500,Cat,Train
10183.jpg,500,375,Cat,Train
10184.jpg,250,200,Cat,Validation
10185.jpg,500,419,Cat,Train
10186.jpg,200,164,Cat,Train
10187.jpg,300,223,Cat,Train
10188.jpg,300,226,Cat,Train
10189.jpg,500,375,Cat,Validation
1019.jpg,500,375,Cat,Train
10190.jpg,500,374,Cat,Train
10191.jpg,468,312,Cat,Train
10192.jpg,300,109,Cat,Train
10193.jpg,500,313,Cat,Train
10194.jpg,500,464,Cat,Train
10195.jpg,500,333,Cat,Train
10196.jpg,500,471,Cat,Train
10197.jpg,125,200,Cat,Train
10198.jpg,341,500,Cat,Train
10199.jpg,245,254,Cat,Train
102.jpg,350,343,Cat,Train
1020.jpg,272,360,Cat,Train
10200.jpg,369,378,Cat,Train
10201.jpg,320,479,Cat,Train
10202.jpg,500,375,Cat,Train
10203.jpg,175,258,Cat,Train
10204.jpg,320,240,Cat,Train
10205.jpg,500,375,Cat,Train
10206.jpg,258,500,Cat,Train
10207.jpg,250,195,Cat,Train
10208.jpg,500,392,Cat,Validation
10209.jpg,320,224,Cat,Train
1021.jpg,358,500,Cat,Train
10210.jpg,500,282,Cat,Train
10211.jpg,500,375,Cat,Train
10212.jpg,500,375,Cat,Train
10213.jpg,461,439,Cat,Train
10214.jpg,500,245,Cat,Train
10215.jpg,500,375,Cat,Validation
10216.jpg,353,336,Cat,Train
10217.jpg,500,375,Cat,Validation
10218.jpg,500,333,Cat,Train
10219.jpg,400,300,Cat,Validation
1022.jpg,500,473,Cat,Train
10220.jpg,400,300,Cat,Train
10221.jpg,500,336,Cat,Train
10222.jpg,432,324,Cat,Train
10223.jpg,436,500,Cat,Train
10224.jpg,320,320,Cat,Train
10225.jpg,500,353,Cat,Train
10226.jpg,500,375,Cat,Train
10227.jpg,240,185,Cat,Train
10228.jpg,320,251,Cat,Validation
10229.jpg,500,479,Cat,Train
1023.jpg,350,315,Cat,Train
10230.jpg,491,500,Cat,Train
10231.jpg,500,375,Cat,Validation
10232.jpg,500,364,Cat,Train
10233.jpg,500,375,Cat,Train
10234.jpg,415,327,Cat,Validation
10235.jpg,279,450,Cat,Validation
10236.jpg,500,375,Cat,Validation
10237.jpg,295,500,Cat,Train
10238.jpg,140,104,Cat,Train
10239.jpg,200,200,Cat,Validation
1024.jpg,484,446,Cat,Train
10240.jpg,500,375,Cat,Validation
10241.jpg,500,440,Cat,Train
10242.jpg,500,332,Cat,Train
10243.jpg,500,375,Cat,Train
10244.jpg,234,360,Cat,Train
10245.jpg,460,469,Cat,Train
10246.jpg,500,375,Cat,Validation
10247.jpg,375,500,Cat,Train
10248.jpg,300,225,Cat,Train
10249.jpg,379,500,Cat,Train
1025.jpg,500,375,Cat,Validation
10250.jpg,106,144,Cat,Train
10251.jpg,500,486,Cat,Train
10252.jpg,400,300,Cat,Validation
10253.jpg,398,500,Cat,Train
10254.jpg,500,352,Cat,Train
10255.jpg,403,500,Cat,Train
10256.jpg,500,375,Cat,Train
10257.jpg,500,375,Cat,Train
10258.jpg,500,375,Cat,Train
10259.jpg,465,500,Cat,Train
1026.jpg,475,316,Cat,Train
10260.jpg,281,500,Cat,Train
10261.jpg,500,375,Cat,Validation
10262.jpg,478,500,Cat,Validation
10263.jpg,500,375,Cat,Train
10264.jpg,500,315,Cat,Train
10265.jpg,283,500,Cat,Train
10266.jpg,474,500,Cat,Train
10267.jpg,500,375,Cat,Train
10268.jpg,500,374,Cat,Train
10269.jpg,202,270,Cat,Train
1027.jpg,438,396,Cat,Train
10270.jpg,293,500,Cat,Train
10271.jpg,500,334,Cat,Train
10272.jpg,189,130,Cat,Train
10273.jpg,351,326,Cat,Train
10274.jpg,240,161,Cat,Train
10275.jpg,500,375,Cat,Train
10276.jpg,500,375,Cat,Validation
10277.jpg,56,75,Cat,Train
10278.jpg,173,190,Cat,Validation
10279.jpg,404,388,Cat,Train
1028.jpg,500,324,Cat,Train
10280.jpg,500,383,Cat,Validation
10281.jpg,200,180,Cat,Train
10282.jpg,500,375,Cat,Validation
10283.jpg,500,260,Cat,Train
10284.jpg,375,500,Cat,Validation
10285.jpg,250,187,Cat,Train
10286.jpg,290,208,Cat,Train
10287.jpg,500,413,Cat,Train
10288.jpg,500,500,Cat,Train
10289.jpg,350,262,Cat,Train
1029.jpg,500,375,Cat,Train
10290.jpg,448,500,Cat,Train
10291.jpg,428,500,Cat,Train
10292.jpg,480,500,Cat,Validation
10293.jpg,500,375,Cat,Train
10294.jpg,328,280,Cat,Train
10295.jpg,418,377,Cat,Train
10296.jpg,500,375,Cat,Train
10297.jpg,372,348,Cat,Train
10298.jpg,215,243,Cat,Train
10299.jpg,250,239,Cat,Train
103.jpg,500,387,Cat,Validation
1030.jpg,500,375,Cat,Train
10300.jpg,360,372,Cat,Train
10301.jpg,200,127,Cat,Validation
10302.jpg,500,375,Cat,Train
10303.jpg,500,436,Cat,Train
10304.jpg,500,380,Cat,Train
10305.jpg,384,500,Cat,Train
10306.jpg,216,184,Cat,Train
10307.jpg,185,181,Cat,Train
10308.jpg,200,201,Cat,Train
10309.jpg,500,272,Cat,Train
1031.jpg,500,375,Cat,Train
10310.jpg,500,375,Cat,Train
10311.jpg,500,491,Cat,Validation
10312.jpg,500,375,Cat,Train
10313.jpg,350,263,Cat,Train
10314.jpg,453,453,Cat,Train
10315.jpg,350,262,Cat,Train
10316.jpg,334,500,Cat,Validation
10317.jpg,150,200,Cat,Validation
10318.jpg,500,263,Cat,Train
10319.jpg,240,210,Cat,Train
1032.jpg,500,332,Cat,Train
10320.jpg,500,375,Cat,Validation
10321.jpg,484,500,Cat,Train
10322.jpg,300,352,Cat,Train
10323.jpg,500,354,Cat,Train
10324.jpg,319,448,Cat,Train
10325.jpg,400,267,Cat,Train
10326.jpg,384,256,Cat,Train
10327.jpg,250,250,Cat,Train
10328.jpg,358,497,Cat,Train
10329.jpg,466,500,Cat,Validation
1033.jpg,336,448,Cat,Train
10330.jpg,500,375,Cat,Validation
10331.jpg,500,375,Cat,Train
10332.jpg,350,262,Cat,Validation
10333.jpg,500,375,Cat,Train
10334.jpg,500,375,Cat,Validation
10335.jpg,169,93,Cat,Train
10336.jpg,458,387,Cat,Train
10337.jpg,500,375,Cat,Train
10338.jpg,355,500,Cat,Validation
10339.jpg,500,375,Cat,Validation
1034.jpg,229,255,Cat,Validation
10340.jpg,200,138,Cat,Train
10341.jpg,240,213,Cat,Train
10342.jpg,500,428,Cat,Train
10343.jpg,500,346,Cat,Train
10344.jpg,375,500,Cat,Train
10345.jpg,365,213,Cat,Train
10346.jpg,500,490,Cat,Train
10347.jpg,500,375,Cat,Train
10348.jpg,432,363,Cat,Train
10349.jpg,449,449,Cat,Train
1035.jpg,500,375,Cat,Train
10350.jpg,500,399,Cat,Train
10351.jpg,300,448,Cat,Train
10352.jpg,432,321,Cat,Train
10353.jpg,360,270,Cat,Train
10354.jpg,372,398,Cat,Train
10355.jpg,500,481,Cat,Train
10356.jpg,500,424,Cat,Train
10357.jpg,500,375,Cat,Validation
10358.jpg,200,150,Cat,Train
10359.jpg,500,375,Cat,Validation
1036.jpg,500,375,Cat,Train
10360.jpg,416,276,Cat,Train
10361.jpg,490,375,Cat,Train
10362.jpg,500,375,Cat,Train
10363.jpg,500,400,Cat,Train
10364.jpg,500,454,Cat,Train
10365.jpg,296,224,Cat,Validation
10366.jpg,500,375,Cat,Train
10367.jpg,442,500,Cat,Train
10368.jpg,221,166,Cat,Train
10369.jpg,178,185,Cat,Train
1037.jpg,500,375,Cat,Train
10370.jpg,500,375,Cat,Train
10371.jpg,500,375,Cat,Train
10372.jpg,320,240,Cat,Train
10373.jpg,375,500,Cat,Train
10374.jpg,388,500,Cat,Train
10375.jpg,500,396,Cat,Train
10376.jpg,500,335,Cat,Train
10377.jpg,180,163,Cat,Train
10378.jpg,500,363,Cat,Train
10379.jpg,500,375,Cat,Validation
1038.jpg,500,365,Cat,Validation
10380.jpg,500,375,Cat,Validation
10381.jpg,500,496,Cat,Train
10382.jpg,419,295,Cat,Train
10383.jpg,500,375,Cat,Validation
10384.jpg,500,375,Cat,Train
10385.jpg,288,386,Cat,Validation
10386.jpg,500,441,Cat,Train
10387.jpg,500,450,Cat,Train
10388.jpg,164,230,Cat,Train
10389.jpg,500,375,Cat,Train
1039.jpg,374,500,Cat,Train
10390.jpg,409,308,Cat,Train
10391.jpg,350,262,Cat,Train
10392.jpg,50,50,Cat,Train
10393.jpg,500,375,Cat,Train
10394.jpg,432,288,Cat,Validation
10395.jpg,180,334,Cat,Train
10396.jpg,500,375,Cat,Train
10397.jpg,500,375,Cat,Train
10398.jpg,356,270,Cat,Train
10399.jpg,500,405,Cat,Train
104.jpg,253,400,Cat,Train
1040.jpg,463,431,Cat,Train
10400.jpg,375,500,Cat,Validation
10401.jpg,427,283,Cat,Train
10402.jpg,480,360,Cat,Train
10403.jpg,500,487,Cat,Train
10405.jpg,500,375,Cat,Train
10406.jpg,360,270,Cat,Train
10407.jpg,500,375,Cat,Validation
10408.jpg,500,375,Cat,Train
10409.jpg,500,375,Cat,Train
1041.jpg,483,465,Cat,Train
10410.jpg,416,336,Cat,Train
10411.jpg,430,496,Cat,Train
10412.jpg,361,381,Cat,Validation
10413.jpg,500,375,Cat,Train
10414.jpg,500,375,Cat,Validation
10415.jpg,375,500,Cat,Train
10416.jpg,500,375,Cat,Train
10417.jpg,500,426,Cat,Train
10418.jpg,99,190,Cat,Validation
10419.jpg,500,497,Cat,Train
1042.jpg,350,262,Cat,Train
10420.jpg,312,331,Cat,Train
10421.jpg,500,375,Cat,Train
10422.jpg,400,500,Cat,Validation
10423.jpg,262,500,Cat,Train
10424.jpg,375,500,Cat,Validation
10425.jpg,363,500,Cat,Train
10426.jpg,500,375,Cat,Train
10427.jpg,500,375,Cat,Train
10428.jpg,480,403,Cat,Train
10429.jpg,400,432,Cat,Train
1043.jpg,500,375,Cat,Train
10430.jpg,350,260,Cat,Train
10431.jpg,333,500,Cat,Train
10432.jpg,300,132,Cat,Validation
10433.jpg,353,336,Cat,Train
10434.jpg,500,265,Cat,Train
10435.jpg,144,160,Cat,Train
10436.jpg,500,375,Cat,Train
10437.jpg,304,456,Cat,Train
10438.jpg,320,240,Cat,Validation
10439.jpg,399,266,Cat,Train
1044.jpg,500,375,Cat,Validation
10440.jpg,400,300,Cat,Train
10441.jpg,500,375,Cat,Validation
10442.jpg,500,375,Cat,Train
10443.jpg,500,293,Cat,Train
10444.jpg,500,488,Cat,Train
10445.jpg,350,256,Cat,Train
10446.jpg,500,426,Cat,Train
10447.jpg,500,483,Cat,Train
10448.jpg,350,262,Cat,Train
10449.jpg,500,404,Cat,Train
1045.jpg,500,445,Cat,Train
10450.jpg,500,375,Cat,Train
10451.jpg,350,264,Cat,Validation
10452.jpg,250,246,Cat,Validation
10453.jpg,500,500,Cat,Train
10454.jpg,500,375,Cat,Train
10455.jpg,469,500,Cat,Train
10456.jpg,500,436,Cat,Train
10457.jpg,500,305,Cat,Train
10458.jpg,300,200,Cat,Validation
10459.jpg,500,375,Cat,Train
1046.jpg,500,375,Cat,Train
10460.jpg,500,334,Cat,Validation
10461.jpg,305,274,Cat,Validation
10462.jpg,280,280,Cat,Train
10463.jpg,500,481,Cat,Train
10464.jpg,500,453,Cat,Train
10465.jpg,500,333,Cat,Validation
10466.jpg,220,253,Cat,Train
10467.jpg,288,216,Cat,Train
10468.jpg,500,499,Cat,Train
10469.jpg,320,379,Cat,Validation
1047.jpg,383,500,Cat,Train
10470.jpg,500,299,Cat,Train
10471.jpg,200,150,Cat,Train
10472.jpg,300,358,Cat,Train
10473.jpg,383,322,Cat,Validation
10474.jpg,324,500,Cat,Train
10475.jpg,400,300,Cat,Train
10476.jpg,500,375,Cat,Validation
10477.jpg,463,400,Cat,Validation
10478.jpg,476,375,Cat,Train
10479.jpg,372,282,Cat,Train
1048.jpg,351,500,Cat,Train
10480.jpg,339,500,Cat,Train
10481.jpg,500,416,Cat,Train
10482.jpg,462,500,Cat,Train
10483.jpg,500,375,Cat,Train
10484.jpg,432,288,Cat,Train
10485.jpg,285,227,Cat,Train
10486.jpg,500,375,Cat,Validation
10487.jpg,370,344,Cat,Train
10488.jpg,500,377,Cat,Train
10489.jpg,500,334,Cat,Train
1049.jpg,500,375,Cat,Train
10490.jpg,500,375,Cat,Train
10491.jpg,446,500,Cat,Train
10492.jpg,500,300,Cat,Train
10493.jpg,481,500,Cat,Train
10494.jpg,500,388,Cat,Train
10495.jpg,500,344,Cat,Train
10496.jpg,500,500,Cat,Train
10497.jpg,404,396,Cat,Train
10498.jpg,300,400,Cat,Train
10499.jpg,500,375,Cat,Train
105.jpg,215,175,Cat,Train
1050.jpg,429,260,Cat,Train
10500.jpg,500,375,Cat,Train
10501.jpg,400,299,Cat,Train
10502.jpg,180,150,Cat,Train
10503.jpg,448,336,Cat,Validation
10504.jpg,375,500,Cat,Train
10505.jpg,400,500,Cat,Train
10506.jpg,500,374,Cat,Train
10507.jpg,294,500,Cat,Train
10508.jpg,500,379,Cat,Train
10509.jpg,500,375,Cat,Train
1051.jpg,500,375,Cat,Train
10510.jpg,329,246,Cat,Train
10511.jpg,340,500,Cat,Train
10512.jpg,500,404,Cat,Train
10513.jpg,500,298,Cat,Train
10514.jpg,370,500,Cat,Train
10515.jpg,500,375,Cat,Train
10516.jpg,500,500,Cat,Train
10517.jpg,500,326,Cat,Train
10518.jpg,476,500,Cat,Validation
10519.jpg,288,270,Cat,Train
1052.jpg,400,360,Cat,Train
10520.jpg,185,200,Cat,Train
10521.jpg,500,377,Cat,Train
10522.jpg,500,333,Cat,Train
10523.jpg,342,400,Cat,Train
10524.jpg,500,375,Cat,Validation
10525.jpg,500,375,Cat,Train
10526.jpg,150,126,Cat,Train
10527.jpg,500,375,Cat,Train
10528.jpg,282,440,Cat,Train
10529.jpg,300,319,Cat,Validation
1053.jpg,500,375,Cat,Validation
10530.jpg,182,224,Cat,Train
10531.jpg,500,333,Cat,Train
10532.jpg,150,225,Cat,Train
10533.jpg,400,400,Cat,Train
10534.jpg,467,415,Cat,Train
10535.jpg,500,375,Cat,Train
10536.jpg,375,500,Cat,Train
10537.jpg,500,327,Cat,Train
10538.jpg,500,375,Cat,Train
10539.jpg,447,402,Cat,Validation
1054.jpg,311,311,Cat,Train
10540.jpg,250,188,Cat,Validation
10541.jpg,200,227,Cat,Train
10542.jpg,500,320,Cat,Train
10543.jpg,442,328,Cat,Train
10544.jpg,482,477,Cat,Train
10545.jpg,438,500,Cat,Train
10546.jpg,500,375,Cat,Validation
10547.jpg,500,369,Cat,Train
10548.jpg,500,375,Cat,Train
10549.jpg,450,341,Cat,Train
1055.jpg,500,375,Cat,Train
10550.jpg,329,353,Cat,Train
10551.jpg,320,242,Cat,Train
10552.jpg,500,375,Cat,Train
10553.jpg,500,375,Cat,Train
10554.jpg,500,375,Cat,Train
10555.jpg,500,333,Cat,Train
10556.jpg,500,375,Cat,Train
10557.jpg,257,500,Cat,Train
10558.jpg,400,299,Cat,Train
10559.jpg,500,375,Cat,Train
1056.jpg,500,375,Cat,Validation
10560.jpg,500,465,Cat,Train
10561.jpg,500,409,Cat,Train
10562.jpg,500,375,Cat,Train
10563.jpg,320,240,Cat,Train
10564.jpg,440,283,Cat,Train
10565.jpg,500,375,Cat,Train
10566.jpg,389,500,Cat,Validation
10567.jpg,500,392,Cat,Train
10568.jpg,500,334,Cat,Validation
10569.jpg,500,375,Cat,Train
1057.jpg,375,500,Cat,Train
10570.jpg,500,335,Cat,Train
10571.jpg,500,334,Cat,Train
10572.jpg,500,375,Cat,Train
10573.jpg,276,226,Cat,Train
10574.jpg,500,375,Cat,Validation
10575.jpg,375,500,Cat,Validation
10576.jpg,500,398,Cat,Train
10577.jpg,434,500,Cat,Train
10578.jpg,480,360,Cat,Train
10579.jpg,500,377,Cat,Train
1058.jpg,284,342,Cat,Train
10580.jpg,450,338,Cat,Train
10581.jpg,350,324,Cat,Validation
10582.jpg,240,240,Cat,Train
10583.jpg,500,375,Cat,Train
10584.jpg,500,375,Cat,Train
10585.jpg,500,375,Cat,Train
10586.jpg,192,149,Cat,Validation
10587.jpg,500,364,Cat,Train
10588.jpg,500,373,Cat,Train
10589.jpg,500,424,Cat,Validation
1059.jpg,500,375,Cat,Train
10590.jpg,150,261,Cat,Validation
10591.jpg,320,240,Cat,Train
10592.jpg,500,371,Cat,Train
10593.jpg,500,381,Cat,Train
10594.jpg,500,375,Cat,Train
10595.jpg,500,333,Cat,Train
10596.jpg,500,375,Cat,Train
10597.jpg,500,375,Cat,Train
10598.jpg,500,455,Cat,Train
10599.jpg,360,270,Cat,Train
106.jpg,400,375,Cat,Validation
1060.jpg,500,375,Cat,Train
10600.jpg,400,300,Cat,Train
10601.jpg,332,500,Cat,Train
10602.jpg,350,204,Cat,Train
10603.jpg,500,420,Cat,Train
10604.jpg,500,375,Cat,Train
10605.jpg,288,216,Cat,Train
10606.jpg,375,500,Cat,Train
10607.jpg,411,500,Cat,Train
10608.jpg,408,308,Cat,Train
10609.jpg,500,374,Cat,Train
1061.jpg,329,246,Cat,Train
10610.jpg,500,375,Cat,Train
10611.jpg,500,375,Cat,Train
10612.jpg,300,201,Cat,Train
10613.jpg,441,500,Cat,Train
10614.jpg,375,500,Cat,Train
10615.jpg,468,380,Cat,Train
10616.jpg,460,438,Cat,Train
10617.jpg,300,300,Cat,Train
10618.jpg,500,341,Cat,Train
10619.jpg,423,458,Cat,Validation
1062.jpg,480,360,Cat,Train
10620.jpg,500,375,Cat,Validation
10621.jpg,375,500,Cat,Train
10622.jpg,252,126,Cat,Train
10623.jpg,416,483,Cat,Train
10624.jpg,500,375,Cat,Validation
10625.jpg,500,375,Cat,Train
10626.jpg,500,375,Cat,Train
10627.jpg,500,375,Cat,Validation
10628.jpg,199,150,Cat,Train
10629.jpg,500,375,Cat,Train
1063.jpg,500,300,Cat,Train
10630.jpg,375,500,Cat,Train
10631.jpg,408,500,Cat,Train
10632.jpg,482,361,Cat,Train
10633.jpg,500,393,Cat,Train
10634.jpg,457,500,Cat,Train
10635.jpg,350,449,Cat,Validation
10636.jpg,193,150,Cat,Train
10637.jpg,500,375,Cat,Train
10638.jpg,250,301,Cat,Train
10639.jpg,500,375,Cat,Train
1064.jpg,240,159,Cat,Train
10640.jpg,400,294,Cat,Train
10641.jpg,443,374,Cat,Validation
10642.jpg,383,350,Cat,Train
10643.jpg,269,440,Cat,Train
10644.jpg,250,259,Cat,Train
10645.jpg,300,225,Cat,Train
10646.jpg,483,336,Cat,Train
10647.jpg,388,275,Cat,Validation
10648.jpg,500,375,Cat,Validation
10649.jpg,500,375,Cat,Validation
1065.jpg,500,374,Cat,Train
10650.jpg,500,375,Cat,Train
10651.jpg,480,360,Cat,Train
10652.jpg,500,375,Cat,Train
10653.jpg,500,375,Cat,Train
10654.jpg,500,375,Cat,Train
10655.jpg,470,469,Cat,Train
10656.jpg,500,421,Cat,Validation
10657.jpg,320,240,Cat,Validation
10658.jpg,500,375,Cat,Train
10659.jpg,500,375,Cat,Train
1066.jpg,300,225,Cat,Train
10660.jpg,332,500,Cat,Train
10661.jpg,308,362,Cat,Validation
10662.jpg,292,296,Cat,Train
10663.jpg,357,500,Cat,Train
10664.jpg,500,418,Cat,Validation
10665.jpg,387,500,Cat,Train
10666.jpg,489,500,Cat,Validation
10667.jpg,500,467,Cat,Validation
10668.jpg,500,375,Cat,Validation
10669.jpg,150,146,Cat,Train
1067.jpg,500,375,Cat,Validation
10670.jpg,350,261,Cat,Train
10671.jpg,500,486,Cat,Train
10672.jpg,500,375,Cat,Train
10673.jpg,320,240,Cat,Train
10674.jpg,400,353,Cat,Train
10675.jpg,141,188,Cat,Validation
10676.jpg,500,375,Cat,Validation
10677.jpg,500,375,Cat,Train
10678.jpg,233,314,Cat,Train
10679.jpg,500,375,Cat,Train
1068.jpg,407,399,Cat,Train
10680.jpg,413,378,Cat,Train
10681.jpg,500,375,Cat,Train
10682.jpg,500,383,Cat,Validation
10683.jpg,310,500,Cat,Train
10684.jpg,500,411,Cat,Validation
10685.jpg,189,270,Cat,Train
10686.jpg,450,438,Cat,Train
